order_id,signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,costs,strategy_id,exit_reason,is_maker
qt_8e76881196a17bf3737b0f20,2022-04-11,2022-04-12,ADA-USDT,buy,187846.48954229767,0.9194595,86.35861967565812,0.00045949999999994606,positive,"{'commission': np.float64(86.35861967565812), 'slippage': np.float64(86.31546194467565), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(172.67408162033377)}",VolatilityReversion,signal,False
qt_c4f9c21b2c3f4789f349a916,2022-04-16,2022-04-17,ADA-USDT,sell,187846.48954229767,0.9495250000000001,89.18246899132511,0.0004749999999998922,negative,"{'commission': np.float64(89.18246899132511), 'slippage': np.float64(89.22708253257115), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(178.40955152389625)}",Router,StateSwitch,False
qt_c5e0a7e1ec7dab99a8175dc3,2022-07-17,2022-07-18,ETH-USDT,short,165.7245350285737,1337.9806750000002,110.86811262079613,0.6693249999998443,negative,"{'commission': np.float64(110.86811262079613), 'slippage': np.float64(110.9235744079743), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(221.7916870287704)}",VolatilityReversion,signal,False
qt_481494ba374bff12cc24b3af,2022-07-18,2022-07-19,ETH-USDT,cover,165.7245350285737,1581.820515,131.073234673517,0.7905149999999139,positive,"{'commission': np.float64(131.073234673517), 'slippage': np.float64(131.00773080809867), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(262.08096548161564)}",VolatilityReversion,hard_stop,False
qt_648d3bf5a777758a22d9fc93,2022-07-19,2022-07-20,ETH-USDT,short,142.2775854524023,1541.558835,109.66463443830912,0.7711649999998826,negative,"{'commission': np.float64(109.66463443830912), 'slippage': np.float64(109.71949418538512), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(219.38412862369424)}",VolatilityReversion,signal,False
qt_e825b4c83b7d4a862864234f,2022-07-28,2022-07-29,ETH-USDT,cover,142.2775854524023,1725.3822599999999,122.74161096760449,0.8622599999998783,positive,"{'commission': np.float64(122.74161096760449), 'slippage': np.float64(122.68027083217109), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(245.42188179977558)}",Router,StateSwitch,False
qt_a105a6ca088fc23bd9262071,2022-08-20,2022-08-21,DOT-USDT,buy,21756.17379475644,7.233615,78.68789255217855,0.003614999999999924,positive,"{'commission': np.float64(78.68789255217855), 'slippage': np.float64(78.64856826804288), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(157.33646082022142)}",VolatilityReversion,signal,False
qt_90c3c421fdb9e993d84cd6df,2022-09-02,2022-09-03,DOT-USDT,sell,21756.17379475644,7.29635,79.37032933368558,0.003649999999999487,negative,"{'commission': np.float64(79.37032933368558), 'slippage': np.float64(79.41003435084984), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(158.78036368453542)}",Router,StateSwitch,False
qt_1074543ee6b9bfafe07a6268,2022-10-26,2022-10-27,ETH-USDT,short,207.30796877961907,1565.326945,162.25237472197827,0.7830549999998766,negative,"{'commission': np.float64(162.25237472197827), 'slippage': np.float64(162.33354149269903), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(324.5859162146773)}",VolatilityReversion,signal,False
qt_be0328be35eaefb4cbc6bf10,2022-10-29,2022-10-30,ETH-USDT,cover,207.30796877961907,1620.359775,167.9567468237253,0.8097749999999451,positive,"{'commission': np.float64(167.9567468237253), 'slippage': np.float64(167.87281041850466), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(335.82955724222995)}",VolatilityReversion,hard_stop,False
qt_3a87e5745e41d9e93b33dd65,2022-12-04,2022-12-05,AVAX-USDT,short,14320.4228,13.923035,99.69187392959901,0.006964999999999222,negative,"{'commission': 99.69187392959901, 'slippage': 99.74174480198886, 'impact': 0.0, 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': 199.43361873158787}",VolatilityReversion,signal,False
qt_3a87e5745e41d9e93b33dd65,2022-12-04,2022-12-06,AVAX-USDT,short,5910.670938588184,13.593200000000001,40.17246610120846,0.006799999999998363,negative,"{'commission': np.float64(40.17246610120846), 'slippage': np.float64(40.19256238238997), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(80.36502848359842)}",VolatilityReversion,signal,False
qt_a012c4e5aadacc888a8db1a9,2022-12-07,2022-12-08,AVAX-USDT,cover,8941.2436,13.286639999999998,59.39954243275199,0.006639999999999091,positive,"{'commission': 59.39954243275199, 'slippage': 59.369857503991874, 'impact': 0.0, 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': 118.76939993674387}",Router,StateSwitch,False
qt_a012c4e5aadacc888a8db1a9,2022-12-07,2022-12-09,AVAX-USDT,cover,7263.2912,13.416704999999999,48.72471767974799,0.006704999999998407,positive,"{'commission': 48.72471767974799, 'slippage': 48.700367495988424, 'impact': 0.0, 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': 97.42508517573641}",Router,StateSwitch,False
qt_a012c4e5aadacc888a8db1a9,2022-12-07,2022-12-10,AVAX-USDT,cover,4026.558938588185,13.46673,27.112291027526833,0.006729999999999237,positive,"{'commission': np.float64(27.112291027526833), 'slippage': np.float64(27.09874165669541), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(54.211032684222246)}",Router,StateSwitch,False
qt_70524c956e578a2f701474c8,2022-12-15,2022-12-16,LTC-USDT,buy,3446.9587652846008,72.466215,124.89402749062421,0.036214999999998554,positive,"{'commission': np.float64(124.89402749062421), 'slippage': np.float64(124.83161168477683), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(249.72563917540106)}",VolatilityReversion,signal,False
qt_3587e54227e073784d107d53,2022-12-16,2022-12-17,LTC-USDT,sell,3446.9587652846008,66.20688,114.10619266907285,0.03311999999999671,negative,"{'commission': np.float64(114.10619266907285), 'slippage': np.float64(114.16327430621463), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(228.2694669752875)}",VolatilityReversion,hard_stop,False
qt_eb7828337419f93697925cec,2022-12-17,2022-12-18,LTC-USDT,buy,3266.9788160783855,64.922445,106.05012625150704,0.032444999999995616,positive,"{'commission': np.float64(106.05012625150704), 'slippage': np.float64(105.9971276876489), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(212.04725393915595)}",VolatilityReversion,signal,False
qt_e7057c4c101ab6fff4491785,2022-12-20,2022-12-21,LTC-USDT,sell,3266.9788160783855,65.52722,107.03801980825396,0.032780000000002474,negative,"{'commission': np.float64(107.03801980825396), 'slippage': np.float64(107.09156559105756), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(214.1295853993115)}",Router,StateSwitch,False
qt_2017711d1073e44e0fc29465,2023-01-06,2023-01-07,BNB-USDT,short,1151.5277,259.77004999999997,149.5662041026925,0.129950000000008,negative,"{'commission': 149.5662041026925, 'slippage': 149.64102461500923, 'impact': 0.0, 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': 299.2072287177017}",VolatilityReversion,signal,False
qt_2017711d1073e44e0fc29465,2023-01-06,2023-01-08,BNB-USDT,short,71.33446126764625,261.16935,9.315187440935674,0.13065000000000282,negative,"{'commission': np.float64(9.315187440935674), 'slippage': np.float64(9.319847364618184), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(18.635034805553857)}",VolatilityReversion,signal,False
qt_cfc8b48c5ed086d496a24e20,2023-01-08,2023-01-09,BNB-USDT,cover,1222.8621612676463,275.03745,168.16644526827108,0.13745000000000118,positive,"{'commission': np.float64(168.16644526827108), 'slippage': np.float64(168.08240406623943), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(336.2488493345105)}",VolatilityReversion,hard_stop,False
qt_f6864526383fabb16772106a,2023-01-08,2023-01-09,ADA-USDT,short,1049944.8681506405,0.29735125,156.10120948783907,0.0001487499999999753,negative,"{'commission': np.float64(156.10120948783907), 'slippage': np.float64(156.17929913738183), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(312.28050862522093)}",VolatilityReversion,signal,False
qt_bf39c63404d0596cb06a29c1,2023-01-08,2023-01-09,DOT-USDT,short,62576.6961,4.823587,150.92206890545535,0.0024129999999997764,negative,"{'commission': 150.92206890545535, 'slippage': 150.997567689286, 'impact': 0.0, 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': 301.91963659474135}",VolatilityReversion,signal,False
qt_bf39c63404d0596cb06a29c1,2023-01-08,2023-01-10,DOT-USDT,short,2125.6668896395568,4.883557000000001,5.190407709283743,0.002442999999999529,negative,"{'commission': np.float64(5.190407709283743), 'slippage': np.float64(5.193004211388436), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(10.383411920672179)}",VolatilityReversion,signal,False
qt_55d4a5246d08e46e2e773794,2023-01-09,2023-01-10,BNB-USDT,short,1117.9168553628808,272.4637,152.29588135226768,0.13630000000000564,negative,"{'commission': np.float64(152.29588135226768), 'slippage': np.float64(152.37206738596697), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(304.66794873823466)}",VolatilityReversion,signal,False
qt_68447c4e5a47deff4a04cf5b,2023-01-09,2023-01-10,ADA-USDT,cover,1049944.8681506405,0.31695840000000003,166.394422748619,0.00015840000000000298,positive,"{'commission': np.float64(166.394422748619), 'slippage': np.float64(166.3112671150646), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(332.7056898636836)}",VolatilityReversion,hard_stop,False
qt_4cdc90170605bfd0bc188af3,2023-01-09,2023-01-10,SOL-USDT,short,11083.620115536121,16.241875,90.00938623201162,0.008124999999999716,negative,"{'commission': np.float64(90.00938623201162), 'slippage': np.float64(90.05441343872783), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(180.06379967073946)}",VolatilityReversion,signal,False
qt_091347de16f00388c34d89f5,2023-01-09,2023-01-10,DOT-USDT,cover,26623.315810360444,4.888443,65.07328090497292,0.002442999999999529,positive,"{'commission': np.float64(65.07328090497292), 'slippage': np.float64(65.04076052469802), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(130.11404142967092)}",VolatilityReversion,hard_stop,False
